"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2026. "
"Date","DJIA"
"2/27/1918","80.5"
"2/28/1918","80.39"
"3/1/1918","79.93"
"3/2/1918","78.98"
"3/4/1918","79.01"
"3/5/1918","79.5"
"3/6/1918","79.2"
"3/7/1918","79.53"
"3/8/1918","79.5"
"3/9/1918","79.71"
"3/11/1918","79.78"
"3/12/1918","78.67"
"3/13/1918","78.68"
"3/14/1918","79.13"
"3/15/1918","79.06"
"3/16/1918","78.98"
"3/18/1918","77.93"
"3/19/1918","78.13"
"3/20/1918","78.14"
"3/21/1918","78.71"
"3/22/1918","77.71"
"3/23/1918","76.24"
"3/25/1918","76.45"
"3/26/1918","76.49"
"3/27/1918","76.72"
"3/28/1918","76.41"
"3/30/1918","76.72"
"4/1/1918","77.16"
"4/2/1918","76.69"
"4/3/1918","77.01"
"4/4/1918","77.42"
"4/5/1918","77.03"
"4/6/1918","77.95"
"4/8/1918","77.69"
"4/9/1918","77.4"
"4/10/1918","76.85"
"4/11/1918","75.58"
"4/12/1918","76.25"
"4/13/1918","76.01"
"4/15/1918","77.51"
"4/16/1918","77.21"
"4/17/1918","76.89"
"4/18/1918","78.11"
"4/19/1918","78.6"
"4/20/1918","79.73"
"4/22/1918","79.42"
"4/23/1918","78.3"
"4/24/1918","78.01"
"4/25/1918","77.88"
"4/26/1918","78.23"
"4/27/1918","77.86"
"4/29/1918","77.79"
"4/30/1918","77.51"
"5/1/1918","78.16"
"5/2/1918","78.9"
"5/3/1918","78.64"
"5/4/1918","78.59"
"5/6/1918","79.36"
"5/7/1918","80.51"
"5/8/1918","80.32"
"5/9/1918","81.3"
"5/10/1918","81.29"
"5/11/1918","81.82"
"5/13/1918","82.16"
"5/14/1918","82.21"
"5/15/1918","84.04"
"5/16/1918","84.03"
"5/17/1918","83.5"
"5/18/1918","83.35"
"5/20/1918","82.47"
"5/21/1918","82.87"
"5/22/1918","82.22"
"5/23/1918","82.21"
"5/24/1918","81.58"
"5/25/1918","81.16"
"5/27/1918","78.65"
"5/28/1918","78.42"
"5/29/1918","78.44"
"5/31/1918","78.08"
"6/1/1918","77.93"
"6/3/1918","78.55"
"6/4/1918","79.6"
"6/5/1918","79.54"
"6/6/1918","78.95"
"6/7/1918","78.53"
"6/8/1918","79.16"
"6/10/1918","78.93"
"6/11/1918","79.1"
"6/12/1918","79.76"
"6/13/1918","80.53"
"6/14/1918","80.61"
"6/15/1918","81.21"
"6/17/1918","80.61"
"6/18/1918","80.98"
"6/19/1918","80.93"
"6/20/1918","81.83"
"6/21/1918","81.65"
"6/22/1918","81.95"
"6/24/1918","82.5"
"6/25/1918","82.4"
"6/26/1918","83.02"
"6/27/1918","82.78"
"6/28/1918","82.58"
"6/29/1918","82.68"
"7/1/1918","81.81"
"7/2/1918","81.98"
"7/3/1918","82.49"
"7/5/1918","82.96"
"7/6/1918","83.2"
"7/8/1918","82.6"
"7/9/1918","82.76"
"7/10/1918","82.09"
"7/11/1918","81.09"
"7/12/1918","81.23"
"7/13/1918","81.15"
"7/15/1918","80.58"
"7/16/1918","81.71"
"7/17/1918","81.45"
"7/18/1918","82.92"
"7/19/1918","82.31"
"7/20/1918","82.29"
"7/22/1918","81.22"
"7/23/1918","80.51"
"7/24/1918","80.93"
"7/25/1918","81.28"
"7/26/1918","81.51"
"7/27/1918","81.49"
"7/29/1918","81.1"
"7/30/1918","80.79"
"7/31/1918","81.23"
"8/1/1918","80.71"
"8/2/1918","80.76"
"8/3/1918","80.9"
"8/5/1918","81.57"
"8/6/1918","81.13"
"8/7/1918","80.97"
"8/8/1918","81.13"
"8/9/1918","81.65"
"8/10/1918","82.04"
"8/12/1918","81.58"
"8/13/1918","81.68"
"8/14/1918","81.7"
"8/15/1918","81.58"
"8/16/1918","81.77"
"8/17/1918","81.51"
"8/19/1918","81.63"
"8/20/1918","81.92"
"8/21/1918","81.91"
"8/22/1918","81.61"
"8/23/1918","82.15"
"8/24/1918","82.83"
"8/26/1918","82.93"
"8/27/1918","83.01"
"8/28/1918","83.18"
"8/29/1918","82.73"
"8/30/1918","82.46"
"8/31/1918","82.84"
"9/3/1918","83.84"
"9/4/1918","83.61"
"9/5/1918","83.63"
"9/6/1918","82.56"
"9/7/1918","82.91"
"9/9/1918","81.8"
"9/10/1918","81.33"
"9/11/1918","80.46"
"9/13/1918","80.29"
"9/14/1918","81.49"
"9/16/1918","81.48"
"9/17/1918","81.8"
"9/18/1918","81.92"
"9/19/1918","81.64"
"9/20/1918","81.96"
"9/21/1918","82.33"
"9/23/1918","82.44"
"9/24/1918","82.8"
"9/25/1918","82.64"
"9/26/1918","82.84"
"9/27/1918","84.03"
"9/28/1918","83.85"
"9/30/1918","84.68"
"10/1/1918","83.95"
"10/2/1918","84.45"
"10/3/1918","84.95"
"10/4/1918","85.31"
"10/5/1918","84.87"
"10/7/1918","84.35"
"10/8/1918","84.3"
"10/9/1918","83.36"
"10/10/1918","84.15"
"10/11/1918","84.83"
"10/14/1918","86.35"
"10/15/1918","86.21"
"10/16/1918","86.63"
"10/17/1918","88.27"
"10/18/1918","89.07"
"10/19/1918","88.88"
"10/21/1918","88.15"
"10/22/1918","87.79"
"10/23/1918","87.1"
"10/24/1918","87.1"
"10/25/1918","86.52"
"10/26/1918","87.7"
"10/28/1918","87.28"
"10/29/1918","86.39"
"10/30/1918","84.08"
"10/31/1918","85.51"
"11/1/1918","85.53"
"11/2/1918","85.23"
"11/4/1918","85.74"
"11/6/1918","86.62"
"11/7/1918","87.61"
"11/8/1918","87.66"
"11/9/1918","88.06"
"11/12/1918","86.56"
"11/13/1918","86.12"
"11/14/1918","85.53"
"11/15/1918","86.15"
"11/16/1918","85.35"
"11/18/1918","85.01"
"11/19/1918","84.68"
"11/20/1918","84.33"
"11/21/1918","83.84"
"11/22/1918","82.6"
"11/23/1918","81.83"
"11/25/1918","79.87"
"11/26/1918","81.43"
"11/27/1918","80.16"
"11/29/1918","80.93"
"11/30/1918","81.13"
"12/2/1918","81.13"
"12/3/1918","82.46"
"12/4/1918","82.45"
"12/5/1918","82.89"
"12/6/1918","82.45"
"12/7/1918","82.71"
"12/9/1918","83.41"
"12/10/1918","84.5"
"12/11/1918","84.27"
"12/12/1918","83.53"
"12/13/1918","82.65"
"12/14/1918","82.96"
"12/16/1918","83.23"
"12/17/1918","83.41"
"12/18/1918","83.01"
"12/19/1918","82.4"
"12/20/1918","81.72"
"12/21/1918","81.89"
"12/23/1918","81.51"
"12/24/1918","80.59"
"12/26/1918","80.44"
"12/27/1918","81.17"
"12/28/1918","81.55"
"12/30/1918","80.78"
"12/31/1918","82.2"
"1/2/1919","82.6"
"1/3/1919","83.35"
"1/4/1919","83.05"
"1/6/1919","82.45"
"1/7/1919","82.44"
"1/8/1919","82.6"
"1/9/1919","82.76"
"1/10/1919","82.3"
"1/11/1919","81.66"
"1/13/1919","81.79"
"1/14/1919","82"
"1/15/1919","82.4"
"1/16/1919","82.2"
"1/17/1919","81.35"
"1/18/1919","80.93"
"1/20/1919","80.14"
"1/21/1919","79.88"
"1/22/1919","80"
"1/23/1919","80.2"
"1/24/1919","81.75"
"1/25/1919","81.33"
"1/27/1919","81.47"
"1/28/1919","81.6"
"1/29/1919","80.56"
"1/30/1919","80.94"
"1/31/1919","80.61"
"2/1/1919","80.55"
"2/3/1919","80.91"
"2/4/1919","81.08"
"2/5/1919","80.7"
"2/6/1919","79.68"
"2/7/1919","79.35"
"2/8/1919","79.15"
"2/10/1919","79.65"
"2/11/1919","80.25"
"2/13/1919","81.07"
"2/14/1919","81.2"
"2/15/1919","81.96"
"2/17/1919","82.55"
"2/18/1919","81.92"
"2/19/1919","82.58"
"2/20/1919","82.93"
"2/21/1919","84.21"
"2/24/1919","84.62"
"2/25/1919","84.61"
"2/26/1919","85.6"
"2/27/1919","85.68"
"2/28/1919","84.81"
"3/1/1919","84.04"
"3/3/1919","85.58"
"3/4/1919","85.1"
"3/5/1919","84.24"
"3/6/1919","85.64"
"3/7/1919","86.23"
"3/8/1919","87.27"
"3/10/1919","87.43"
"3/11/1919","88.1"
"3/12/1919","88.3"
"3/13/1919","88.18"
"3/14/1919","87.87"
"3/15/1919","87.68"
"3/17/1919","88.41"
"3/18/1919","87.87"
"3/19/1919","88.26"
"3/20/1919","87.81"
"3/21/1919","89.05"
"3/22/1919","88.66"
"3/24/1919","87.97"
"3/26/1919","86.83"
"3/27/1919","87.65"
"3/28/1919","88.86"
"3/29/1919","88.88"
"3/31/1919","88.85"
"4/1/1919","88.84"
"4/2/1919","89.3"
"4/3/1919","88.91"
"4/4/1919","89.59"
"4/5/1919","89.65"
"4/7/1919","90.18"
"4/8/1919","90.59"
"4/9/1919","91.01"
"4/10/1919","90.11"
"4/11/1919","90.11"
"4/12/1919","89.61"
"4/14/1919","90.48"
"4/15/1919","91.47"
"4/16/1919","91.07"
"4/17/1919","90.88"
"4/19/1919","91.67"
"4/21/1919","92.21"
"4/22/1919","92.24"
"4/23/1919","92.36"
"4/24/1919","91.65"
"4/25/1919","92.09"
"4/26/1919","92.48"
"4/28/1919","93.17"
"4/29/1919","93.51"
"4/30/1919","92.88"
"5/1/1919","93.26"
"5/2/1919","94.3"
"5/3/1919","94.78"
"5/5/1919","94.92"
"5/7/1919","96.16"
"5/8/1919","97.65"
"5/9/1919","98.61"
"5/10/1919","98.19"
"5/12/1919","98.53"
"5/13/1919","99.23"
"5/14/1919","100.37"
"5/15/1919","99.45"
"5/16/1919","99.92"
"5/17/1919","100.1"
"5/19/1919","99.16"
"5/20/1919","99.88"
"5/21/1919","99.65"
"5/22/1919","99.88"
"5/23/1919","100.47"
